Response,Breakdown type,Breakdown name,Estimate %,LCL %,UCL %,Age Standardised Estimate % [note 9],Age Standardised LCL % [note 9],Age Standardised UCL % [note 9],Unweighted Sample for Response Option,Weighted Sample for Response Option
Do not know,Employment Status: detailed [note 6],Economically Inactive - Retired,0.1,0,0.1,[low],0,[low],25,"7,022"
Prefer not to say,Employment Status: detailed [note 6],Economically Inactive - Retired,[low],0,[low],[low],0,[low],16,"3,883"
Yes,Carer Status [note 7],Provides unpaid care,52.5,51.6,53.3,51.7,50.8,52.5,"7,417","2,906,639"
No,Carer Status [note 7],Provides unpaid care,47.2,46.4,48,47.7,46.8,48.5,"6,478","2,614,476"
Do not know,Carer Status [note 7],Provides unpaid care,0.3,0.2,0.4,0.6,0.5,0.8,10,"16,350"
Prefer not to say,Carer Status [note 7],Provides unpaid care,[low],0,0.1,[low],0,0.1,6,"2,202"
Yes,Carer Status [note 7],Does not provide unpaid care,36.6,36.3,36.9,37.3,36.9,37.6,"29,905","14,859,399"
No,Carer Status [note 7],Does not provide unpaid care,63.3,62.9,63.6,62.6,62.2,62.9,"45,492","25,688,825"
Do not know,Carer Status [note 7],Does not provide unpaid care,0.1,0.1,0.1,0.1,0.1,0.1,54,"42,576"
Prefer not to say,Carer Status [note 7],Does not provide unpaid care,[low],0,[low],[low],0,[low],26,"11,970"
Yes,Carer Status: detailed [note 7],Provides unpaid care for 9 hours a week or less,47.6,46.5,48.7,47.6,46.4,48.7,"3,655","1,480,984"
No,Carer Status: detailed [note 7],Provides unpaid care for 9 hours a week or less,52.1,51,53.3,52.2,51,53.3,"3,955","1,622,934"
Do not know,Carer Status: detailed [note 7],Provides unpaid care for 9 hours a week or less,0.2,0.1,0.4,0.2,0.1,0.4,5,"7,548"
Prefer not to say,Carer Status: detailed [note 7],Provides unpaid care for 9 hours a week or less,[low],0,0.1,[low],0,0.1,3,"1,150"
Yes,Carer Status: detailed [note 7],Provides unpaid care for 10 to 19 hours a week,54.6,52.4,56.8,54.1,51.8,56.3,"1,100","428,663"
No,Carer Status: detailed [note 7],Provides unpaid care for 10 to 19 hours a week,44.6,42.4,46.8,42.6,40.4,44.8,860,"350,143"
Do not know,Carer Status: detailed [note 7],Provides unpaid care for 10 to 19 hours a week,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Carer Status: detailed [note 7],Provides unpaid care for 10 to 19 hours a week,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Carer Status: detailed [note 7],Provides unpaid care for 20 to 34 hours a week,56.9,54.1,59.7,54,51.2,56.9,696,"287,961"
No,Carer Status: detailed [note 7],Provides unpaid care for 20 to 34 hours a week,43.1,40.2,45.9,45.9,43.1,48.8,485,"217,960"
Do not know,Carer Status: detailed [note 7],Provides unpaid care for 20 to 34 hours a week,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Carer Status: detailed [note 7],Provides unpaid care for 20 to 34 hours a week,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Carer Status: detailed [note 7],Provides unpaid care for 35 to 49 hours a week,58.5,55.3,61.7,57.9,54.7,61.1,552,"234,302"
No,Carer Status: detailed [note 7],Provides unpaid care for 35 to 49 hours a week,41,37.8,44.2,41.4,38.2,44.6,356,"164,047"
Do not know,Carer Status: detailed [note 7],Provides unpaid care for 35 to 49 hours a week,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Carer Status: detailed [note 7],Provides unpaid care for 35 to 49 hours a week,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Carer Status: detailed [note 7],Provides unpaid care for 50 or more hours a week,64.6,62.6,66.6,64.3,62.3,66.3,"1,414","474,728"
No,Carer Status: detailed [note 7],Provides unpaid care for 50 or more hours a week,35.3,33.3,37.3,35.6,33.6,37.6,822,"259,393"
Do not know,Carer Status: detailed [note 7],Provides unpaid care for 50 or more hours a week,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Carer Status: detailed [note 7],Provides unpaid care for 50 or more hours a week,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Carer Status: detailed [note 7],Does not provide unpaid care,36.6,36.3,36.9,37.3,36.9,37.6,"29,905","14,859,399"
No,Carer Status: detailed [note 7],Does not provide unpaid care,63.3,62.9,63.6,62.6,62.2,62.9,"45,492","25,688,825"
Do not know,Carer Status: detailed [note 7],Does not provide unpaid care,0.1,0.1,0.1,0.1,0.1,0.1,54,"42,576"
Prefer not to say,Carer Status: detailed [note 7],Does not provide unpaid care,[low],0,[low],[low],0,[low],26,"11,970"
